source,target,type,weight,groups
89,76,undirected,24,01LandOfSoviets|02Congo|03America|04CigarsOfPharaoh|05BlueLotus|06BrokenEar|07BlackIsland|08KingOttokarsSceptre|09CrabWithGoldenClaws|10ShootingStar|11SecretOfUnicorn|12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|22Flight714|23Picaros|24AlphArt|
89,02,undirected,2,02Congo|03America|
89,88,undirected,20,02Congo|04CigarsOfPharaoh|05BlueLotus|06BrokenEar|07BlackIsland|08KingOttokarsSceptre|09CrabWithGoldenClaws|10ShootingStar|11SecretOfUnicorn|12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|24AlphArt|
76,02,undirected,2,02Congo|03America|
76,88,undirected,20,02Congo|04CigarsOfPharaoh|05BlueLotus|06BrokenEar|07BlackIsland|08KingOttokarsSceptre|09CrabWithGoldenClaws|10ShootingStar|11SecretOfUnicorn|12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|24AlphArt|
02,88,undirected,1,02Congo|
89,14,undirected,1,03America|
89,71,undirected,4,03America|04CigarsOfPharaoh|19RedSeaSharks|22Flight714|
76,14,undirected,1,03America|
76,71,undirected,4,03America|04CigarsOfPharaoh|19RedSeaSharks|22Flight714|
14,02,undirected,1,03America|
14,71,undirected,1,03America|
02,71,undirected,1,03America|
89,77,undirected,1,04CigarsOfPharaoh|
89,82,undirected,2,04CigarsOfPharaoh|05BlueLotus|
89,84,undirected,1,04CigarsOfPharaoh|
89,04,undirected,4,04CigarsOfPharaoh|09CrabWithGoldenClaws|19RedSeaSharks|22Flight714|
89,60,undirected,1,04CigarsOfPharaoh|
89,57,undirected,3,04CigarsOfPharaoh|15LandOfBlackGold|19RedSeaSharks|
89,45,undirected,2,04CigarsOfPharaoh|05BlueLotus|
76,77,undirected,1,04CigarsOfPharaoh|
76,82,undirected,2,04CigarsOfPharaoh|05BlueLotus|
76,84,undirected,1,04CigarsOfPharaoh|
76,04,undirected,4,04CigarsOfPharaoh|09CrabWithGoldenClaws|19RedSeaSharks|22Flight714|
76,60,undirected,1,04CigarsOfPharaoh|
76,57,undirected,3,04CigarsOfPharaoh|15LandOfBlackGold|19RedSeaSharks|
76,45,undirected,2,04CigarsOfPharaoh|05BlueLotus|
88,77,undirected,1,04CigarsOfPharaoh|
88,82,undirected,2,04CigarsOfPharaoh|05BlueLotus|
88,84,undirected,1,04CigarsOfPharaoh|
88,04,undirected,2,04CigarsOfPharaoh|09CrabWithGoldenClaws|
88,71,undirected,1,04CigarsOfPharaoh|
88,60,undirected,1,04CigarsOfPharaoh|
88,57,undirected,2,04CigarsOfPharaoh|15LandOfBlackGold|
88,45,undirected,2,04CigarsOfPharaoh|05BlueLotus|
77,82,undirected,1,04CigarsOfPharaoh|
77,84,undirected,1,04CigarsOfPharaoh|
77,04,undirected,1,04CigarsOfPharaoh|
77,71,undirected,1,04CigarsOfPharaoh|
77,60,undirected,1,04CigarsOfPharaoh|
77,57,undirected,1,04CigarsOfPharaoh|
77,45,undirected,1,04CigarsOfPharaoh|
82,84,undirected,1,04CigarsOfPharaoh|
82,04,undirected,1,04CigarsOfPharaoh|
82,71,undirected,1,04CigarsOfPharaoh|
82,60,undirected,1,04CigarsOfPharaoh|
82,57,undirected,1,04CigarsOfPharaoh|
82,45,undirected,1,04CigarsOfPharaoh|
84,04,undirected,1,04CigarsOfPharaoh|
84,71,undirected,1,04CigarsOfPharaoh|
84,60,undirected,1,04CigarsOfPharaoh|
84,57,undirected,1,04CigarsOfPharaoh|
84,45,undirected,1,04CigarsOfPharaoh|
04,71,undirected,2,04CigarsOfPharaoh|22Flight714|
04,60,undirected,1,04CigarsOfPharaoh|
