ID,Label,NumGroups
01,Abdullah,2
02,Al Capone,2
03,Alfredo Topolino,1
04,Allan,4
05,Alonso Pérez and Ramón Bada,1
06,Aristides Silk,1
07,Arturo Benedetto Giovanni Giuseppe Pietro Archangelo Alfredo Cartoffoli da Milano,1
08,Bab El Ehr,2
09,Barnaby,1
10,Basil Bazarov,1
11,Bianca Castafiore,8
12,Bill the cook,2
13,Blessed Lightning,1
14,Bobby Smiles,1
15,Bunji Kuraki,1
16,Captain Chester,3
17,Captain Haddock,16
18,Chang Chong-Chen,2
19,Chiquito,2
20,Christopher Willoughby-Drupe and Marco Rizotto,3
21,Colonel Jorgen,3
22,Colonel Sponsz,2
23,Corporal Diaz,1
24,Cutts the butcher,4
25,Dawson,2
26,Dr. Krollspell,1
27,Dr. Müller,3
28,Dr. Patella,2
29,Endaddine Akass,1
30,Frank Wolff,2
31,General Alcazar,4
32,General Tapioca,2
33,Gibbons,2
34,Hans Boehm,1
35,Henri Fourcart,1
36,Huascar,1
37,Igor Wagner,3
38,Irma,3
39,Ivan,1
40,Ivan Ivanovitch Sakharine,3
41,Jolyon Wagg,5
42,King Muskar XII,1
43,Krônik and Klûmsi,1
44,Laszlo Carreidas,1
45,Maharaja of Gaipajama,2
46,Marshal Kûrvi-Tasch,1
47,Martine Vandezande,1
48,Mik Kanrokitoff,1
49,Miller,2
50,Mitsuhirato,1
51,Mohammed Ben Kalish Ezab,2
52,Mr. Baxter,2
53,Mr. Bohlwinkel,1
54,Mr. Bolt,1
55,Mrs. Finch,3
56,Nestor,8
57,Oliveira da Figueira,3
58,Omar ben Salaad,1
59,Pablo,2
60,Patrash Pasha,1
61,Piotr Skut,2
62,Professor Calculus,13
63,Professor Cantonneau,2
64,Professor Euclide,1
65,Professor Hector Alembick,1
66,Professor Philippulus,1
67,Professor Phostle,1
68,Professor Tarragon,1
69,Puschov,1
70,Ramó Nash,1
71,Rastapopoulos,4
72,Red Rackham,1
73,Ridgewell,2
74,Sanders-Hardiman expedition members,1
75,Sir Francis Haddock,1
76,Snowy,24
77,Sophocles Sarcophagus,1
78,Spalding,1
79,Tharkey,1
80,The Arumbayas,2
81,The Bird brothers,2
82,The fakir,2
83,The Grand Abbot,1
84,The gunrunner,1
85,The Picaros,1
86,The Prince of the Sun,1
87,The Sondonesians,1
88,Thomson and Thompson,20
89,Tintin,24
90,Trickler,3
91,Wang Chen-Yee,2
92,Zorrino,1
