ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
424,PaneasFP52,PanBurntSt8F14,Container,broken,Amphora-ConcaveBase,Y,,1,,,,,,,,Pottery/ceramic,,burnished; clay red; clay yellow; discolouration burning,,7.14:52,1,FALSE,,
425,PaneasFP53,PanBurntSt8F2,Container,broken,Amphora-ConcaveBase,Y,,1,,,,,,,,Pottery/ceramic,,burnished; clay light red,,7.14:53,1,FALSE,,
420,PaneasFP48,PanBurntSt8F8,Container,fragmentary,Amphora-Gen,Y,,1,12.5,,,,,10,,Pottery/ceramic,,clay light red,,7.14:48,1,FALSE,,
421,PaneasFP49,PanBurntSt8F8,Container,fragmentary,Amphora-Gen,Y,,1,10,,,,,5,,Pottery/ceramic,,clay light red; slip grey,,7.14:49,1,FALSE,,
422,PaneasFP50,PanBurntSt8F8,Container,intact,Amphora-Gen,Y,,1,58.75,,,,,8.75,2.5,Pottery/ceramic,,clay red; clay yellow,,7.14:50,1,FALSE,,
423,PaneasFP51,PanBurntSt8F9,Container,intact,Amphora-Gen,Y,,1,58.75,,,,,8.75,2.5,Pottery/ceramic,,clay pink,,7.14:51,1,FALSE,,
401,PaneasFP29,PanBurntSt8F8,Container,intact,Amphoriskos,Y,,1,13.75,,,,10.25,6,,Pottery/ceramic,,burnished; clay red; clay yellow,,7.11:29,1,FALSE,,
1636,PaneasFG4,PanBurntSt8F8,,intact,Aryballos,Y,,1,6,,,,,3.8,,Glass,,light green; white,before 250,9.1.4,1,FALSE,colourless glass w greenish tinge,
1766,PaneasFM12,PanBurntSt8F8,Commerce,broken,BalanceScale,Y,,1,,,33,,,,,Cu alloy,,other metal,,5.12,1,FALSE,,
379,PaneasFP7,PanBurntSt8F8,,intact,Basin-Gen,Y,,1,37.5,,,,,52.5,35,Pottery/ceramic,,clay red; clay yellow,,7.9:7,1,FALSE,,
1649,PaneasFG17,PanBurntSt8F8,,fragmentary,Beaker,Y,,1,,,,,,,,,,,,9.3.17,1,FALSE,,
1650,PaneasFG18,PanBurntSt8F8,,fragmentary,Beaker,Y,,1,,,,,,,,,,,,9.3.18,1,FALSE,,
1652,PaneasFG20,PanBurntSt8F8,,broken,Beaker,Y,,1,,,,,,,,,,,,9.5.21,1,FALSE,,
1638,PaneasFG6,PanBurntSt8F14,,fragmentary,Bottle-Candlestick,Y,,1,,,,,,4,,Glass,,light green,before 250,9.1.6,1,FALSE,,
1637,PaneasFG5,PanBurntSt8F8,,intact,Bottle-Conical,Y,,1,11.2,,,,,3.7,1.5,Glass,,light green; purple,250-300; before 250,9.1.5,1,FALSE,light greenish w purplish streaks,
1654,PaneasFG22,PanBurntSt8F8,,fragmentary,Bottle-FunnelRim,Y,,1,,,,,,,,,,,,9.6.23,1,FALSE,,
1655,PaneasFG23,PanBurntSt8F8,,fragmentary,Bottle-FunnelRim,Y,,1,,,,,,,,,,,,9.6.24,1,FALSE,,
1656,PaneasFG24,PanBurntSt8F8,,broken,Bottle-FunnelRim,Y,,1,,,,,,,,,,,,9.6.25,1,FALSE,,
1657,PaneasFG25,PanBurntSt8F8,,fragmentary,Bottle-FunnelRim,Y,,1,,,,,,,,,,,,9.6.26,1,FALSE,,
1658,PaneasFG26,PanBurntSt8F2,,fragmentary,Bottle-FunnelRim,Y,,1,,,,,,,,,,,,9.6.27,1,FALSE,,
1659,PaneasFG27,PanBurntSt8F2,,fragmentary,Bottle-Gen,Y,,1,,,,,,,,,,,,9.6.28,1,FALSE,,
1660,PaneasFG28,PanBurntSt8F8,,broken,Bottle-Gen,Y,,1,,,,,,,,,,,,9.6.29,1,FALSE,,
377,PaneasFP5,PanBurntSt8F8,,intact,Bowl-CarinatedDeep,Y,,1,,,,,,,,Pottery/ceramic,,clay light red,,7.9:5,1,FALSE,no dimensions given,
376,PaneasFP4,PanBurntSt8F8,,intact,Bowl-CarinatedShlw,Y,,1,,,,,,,,Pottery/ceramic,,clay light red,,7.9:4,1,FALSE,no dimensions given; v deformed by fire,
1639,PaneasFG7,PanBurntSt8F8,,fragmentary,Bowl-Deep,Y,ribbed wall,1,,,,,,11,,Glass,,light green,350-400; 400-450,9.2.7,1,FALSE,,
1640,PaneasFG8,PanBurntSt8F8,,fragmentary,Bowl-Deep,Y,,1,,,,,,10.3,,Glass,,light aquamarine,350-400; 400-450,9.2.8,1,FALSE,,
1641,PaneasFG9,PanBurntSt8F8,,fragmentary,Bowl-FlaringRim,Y,,1,,,,,,,,,,,,9.2.9,1,FALSE,,
1642,PaneasFG10,PanBurntSt8F8,,fragmentary,Bowl-FlaringRim,Y,,1,,,,,,,,,,,,9.2.10,1,FALSE,,
