ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
2884,PisaPDM7080a,PisaPDM7080,,fragmentary,Amphora-African1,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3208,PisaPDM8339a,PisaPDM8339,,fragmentary,Amphora-African1,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3309,PisaPDM8400a,PisaPDM8400,,fragmentary,Amphora-African1,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3119,PisaPDM8307a,PisaPDM8307,,fragmentary,Amphora-African2A,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3090,PisaPDM8203a,PisaPDM8203,,fragmentary,Amphora-African2D,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
3447,PisaPDM8419a,PisaPDM8419,,fragmentary,Amphora-Almagro50,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
2615,PisaPDM7016a,PisaPDM7016,,fragmentary,Amphora-Almagro51AB,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2797,PisaPDM7044a,PisaPDM7044,,fragmentary,Amphora-Almagro51AB,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
3020,PisaPDM7096a,PisaPDM7096,,fragmentary,Amphora-Almagro51AB,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
2616,PisaPDM7016b,PisaPDM7016,,fragmentary,Amphora-Almagro51C,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2849,PisaPDM7065a,PisaPDM7065,,fragmentary,Amphora-Almagro51C,Y,base,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
3214,PisaPDM8339b,PisaPDM8339,,fragmentary,Amphora-Almagro51C,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
3237,PisaPDM8396a,PisaPDM8396,,fragmentary,Amphora-Almagro51C,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
3487,PisaPDM8439a,PisaPDM8439,,fragmentary,Amphora-Almagro51C,Y,base,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; before 250,,0,FALSE,,
3450,PisaPDM8419d,PisaPDM8419,,fragmentary,Amphora-Beltran2A,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3279,PisaPDM8398a,PisaPDM8398,,fragmentary,Amphora-Beltran2B,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2569,PisaPDM7011a,PisaPDM7011,,fragmentary,Amphora-Dressel1,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2576,PisaPDM7012a,PisaPDM7012,,fragmentary,Amphora-Dressel1,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2936,PisaPDM7090a,PisaPDM7090,,fragmentary,Amphora-Dressel1,Y,handle,3,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3451,PisaPDM8419e,PisaPDM8419,,fragmentary,Amphora-Dressel1,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2577,PisaPDM7012b,PisaPDM7012,,fragmentary,Amphora-Dressel14,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3310,PisaPDM8400b,PisaPDM8400,,fragmentary,Amphora-Dressel14,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2578,PisaPDM7012c,PisaPDM7012,,fragmentary,Amphora-Dressel2/4,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2620,PisaPDM7016f,PisaPDM7016,,fragmentary,Amphora-Dressel2/4,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2798,PisaPDM7044b,PisaPDM7044,,fragmentary,Amphora-Dressel2/4,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2874,PisaPDM7078a,PisaPDM7078,,fragmentary,Amphora-Dressel2/4,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2896,PisaPDM7086a,PisaPDM7086,,fragmentary,Amphora-Dressel2/4,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2937,PisaPDM7090b,PisaPDM7090,,fragmentary,Amphora-Dressel2/4,Y,base,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2938,PisaPDM7090c,PisaPDM7090,,fragmentary,Amphora-Dressel2/4,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2993,PisaPDM7091a,PisaPDM7091,,fragmentary,Amphora-Dressel2/4,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3240,PisaPDM8396d,PisaPDM8396,,fragmentary,Amphora-Dressel2/4,Y,base,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3452,PisaPDM8419f,PisaPDM8419,,fragmentary,Amphora-Dressel2/4,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2714,PisaPDM7022a,PisaPDM7022,,fragmentary,Amphora-Dressel20,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2767,PisaPDM7038a,PisaPDM7038,,fragmentary,Amphora-Dressel20,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2875,PisaPDM7078b,PisaPDM7078,,fragmentary,Amphora-Dressel20,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
2897,PisaPDM7086b,PisaPDM7086,,fragmentary,Amphora-Dressel20,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
2939,PisaPDM7090d,PisaPDM7090,,fragmentary,Amphora-Dressel20,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
2940,PisaPDM7090e,PisaPDM7090,,fragmentary,Amphora-Dressel20,Y,rim,2,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2994,PisaPDM7091b,PisaPDM7091,,fragmentary,Amphora-Dressel20,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3280,PisaPDM8398b,PisaPDM8398,,fragmentary,Amphora-Dressel20,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3428,PisaPDM8417b,PisaPDM8417,,fragmentary,Amphora-Dressel20,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2579,PisaPDM7012d,PisaPDM7012,,fragmentary,Amphora-Dressel7/11,Y,rim,3,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2876,PisaPDM7078c,PisaPDM7078,,fragmentary,Amphora-Dressel7/11,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3000,PisaPDM7092a,PisaPDM7092,,fragmentary,Amphora-Dressel7/11,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2728,PisaPDM7030a,PisaPDM7030,,fragmentary,Amphora-Empoli,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
2744,PisaPDM7034a,PisaPDM7034,,fragmentary,Amphora-Empoli,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
2761,PisaPDM7037a,PisaPDM7037,,fragmentary,Amphora-Empoli,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
2850,PisaPDM7065b,PisaPDM7065,,fragmentary,Amphora-Empoli,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
2865,PisaPDM7067a,PisaPDM7067,,fragmentary,Amphora-Empoli,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3056,PisaPDM7117a,PisaPDM7117,,fragmentary,Amphora-Empoli,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3110,PisaPDM8224a,PisaPDM8224,,fragmentary,Amphora-Empoli,Y,rim,2,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3199,PisaPDM8313a,PisaPDM8313,,fragmentary,Amphora-Empoli,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3215,PisaPDM8339c,PisaPDM8339,,fragmentary,Amphora-Empoli,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3238,PisaPDM8396b,PisaPDM8396,,fragmentary,Amphora-Empoli,Y,rim,4,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3239,PisaPDM8396c,PisaPDM8396,,fragmentary,Amphora-Empoli,Y,base,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3427,PisaPDM8417a,PisaPDM8417,,fragmentary,Amphora-Empoli,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3448,PisaPDM8419b,PisaPDM8419,,fragmentary,Amphora-Empoli,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3449,PisaPDM8419c,PisaPDM8419,,fragmentary,Amphora-Empoli,Y,base,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
3488,PisaPDM8439b,PisaPDM8439,,fragmentary,Amphora-Empoli,Y,handle,1,,,,,,,,Pottery/ceramic,,,250-300; 300-350; 350-400; 400-450; 450-500; 500-550; before 250,,0,FALSE,,
2617,PisaPDM7016c,PisaPDM7016,,fragmentary,Amphora-Gallic,Y,base,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
2941,PisaPDM7090f,PisaPDM7090,,fragmentary,Amphora-Gallic,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3039,PisaPDM7105a,PisaPDM7105,,fragmentary,Amphora-Gallic,Y,handle,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
3120,PisaPDM8307b,PisaPDM8307,,fragmentary,Amphora-Gauloise4,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3241,PisaPDM8396e,PisaPDM8396,,fragmentary,Amphora-Gauloise4,Y,base,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3281,PisaPDM8398c,PisaPDM8398,,fragmentary,Amphora-Gauloise4,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3453,PisaPDM8419g,PisaPDM8419,,fragmentary,Amphora-Gauloise4,Y,rim,3,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3454,PisaPDM8419h,PisaPDM8419,,fragmentary,Amphora-Gauloise4,Y,base,2,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
3121,PisaPDM8307c,PisaPDM8307,,fragmentary,Amphora-Gauloise5,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3217,PisaPDM8339e,PisaPDM8339,,fragmentary,Amphora-Gen,Y,wall,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
3242,PisaPDM8396f,PisaPDM8396,,fragmentary,Amphora-Gen,Y,wall,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
3395,PisaPDM8405c,PisaPDM8405,,fragmentary,Amphora-Gen,Y,,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
3003,PisaPDM7095a,PisaPDM7095,,fragmentary,Amphora-Giancola,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2618,PisaPDM7016d,PisaPDM7016,,fragmentary,Amphora-Globular,Y,base,2,,,,,,,,Pottery/ceramic,,,600-650; 650-700; 700-750; 750-800,,0,FALSE,,
2570,PisaPDM7011b,PisaPDM7011,,fragmentary,Amphora-GrecoItalic,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2580,PisaPDM7012e,PisaPDM7012,,fragmentary,Amphora-GrecoItalic,Y,rim,2,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2930,PisaPDM7088a,PisaPDM7088,,fragmentary,Amphora-GrecoItalic,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2942,PisaPDM7090g,PisaPDM7090,,fragmentary,Amphora-GrecoItalic,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
