ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
141,SardShBI59.21:1888,SardShW13,Uncertain,intact,PinBone,Y,Pin or handle tapering to knobbed head,1,,,7.5,,0.6,,,Bone/ivory,,,,43,1,FALSE,,
142,SardShU59M6.405,SardShW13,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,Glass bowl - ring base; greenish aquamarine,1,,,,,4.4,,,Glass,,light blue; light green,,,0,FALSE,,
143,SardShU59M6.734,SardShW13,Industry,fragmentary,Glass-Cullet,Y,Group of wasters: drippings and cullet,1,,,,,,,,Glass,,,,,0,FALSE,,
145,SardShG59.68:2194,SardShW13,Container; Food & drink,broken,Goblet,Y,complete stem formed of 5 knobs; portions of foot and lower bowl P.; foot has concentric coil-like ribs,1,4.4,,,,,,,Glass,,light green,,44,1,FALSE,,
146,SardShU59M6.316,SardShW13,Container; Food & drink,fragmentary,Goblet,Y,small section of folded foot,1,,,,,,,,Glass,,blue,,,0,FALSE,,
147,SardShU59M6.315,SardShW13,Container; Food & drink,fragmentary,Goblet,Y,fragment of goblet (?) or vessel,1,,,,,,,,Glass,,light blue,,,0,FALSE,,
148,SardShM59.66:2215,SardShW13,Food & drink; Other; Uncertain,broken,Spoon-Gen,Y,spoon; small bowl; flat handle with profiled sides; widens to transition to 2nd spoon bowl; now missing,1,,2.3,8.5,,,,,Cu alloy,,other metal,,45,1,FALSE,,
149,SardShM59.55:1883,SardShW13,Food & drink; Other; Tool; Uncertain,intact,Spoon-Strainer,Y,strainer spoon; round holes in bowl equally spaced in 3 concentric circles with cross in center; handle in 2 pieces joined by 2 rivets; terminates in ovoid tab with suspension hole,1,,8.4,31.7,,,,,Cu alloy,,other metal,,46,1,FALSE,,
150,SardShU59F47,SardShW13,Container,fragmentary,Amphora-Gen,Y,tapered base with solid toe; pink-buff micaceous clay with large gritty inclusions concentrating toward the bottom; red slip on ext.; hard calcined deposit on surface,1,16,,,,,,,Pottery/ceramic,,,,47,1,FALSE,,
151,SardShU59F48,SardShW13,Container,fragmentary,Amphora-Gen,Y,as [ID150]; flat at bottom; ext. not slipped; drips of iron oxide over calcined deposit; int. lined with mastic,1,15,,,,,,,Pottery/ceramic,,,,48,1,FALSE,,
152,SardShP59.421:1970,SardShW13,Container,fragmentary,Basin-Gen,Y,flat bottom; wide ledge rim; side sharply carinated on ext; rounded; ridged on int; pink-buff micaceous clay; smoothed when wet but no slip,1,11.5,,,,34,,,Pottery/ceramic,,,,,0,FALSE,,
