Artefact Category,act_cat
agricultural,A
cloth working,C
cloth working?,ZC
cloth working?/toilet?,ZC_T
cloth working?/weighing and measuring?,ZC_WM
combat dress,DE
combat dress?,ZDE
dress combat?/furniture?,ZDE_F
dress combat?/horse equipment?,ZDE_H
combat equipment,E
combat equipment?,ZE
combat equipment?/furniture?,ZE_F
cutting and sharpening,CS
cutting and sharpening?,ZCS
cutting and sharpening?/tableware?/toilet?,ZCS_TS_T
dress,D
dress?,ZD
dress?/cloth working?,ZD_C
dress?/cloth working?/furniture?/gaming? ,ZD_C_F_G
dress?/cloth working?/toilet?,ZD_C_T
dress?/cloth working?/writing?,ZD_C_W
dress?/horse equipment?,ZD_H
dress?/miscellaneous fittings?,ZD_MF
dress?/music?,ZD_Mu
food?/miscellaneous?/gaming?,ZFo_M_G
food-preparation?/toilet?,ZFP_T
gaming,G
gaming?/miscellaneous?,ZG_M
glassworking?,ZGL
horse equipment,H
horse equipment?,ZH
horse equipment?/music/religion?,ZH_Mu_R
human remains,Sk
miscellaneous equipment,MQ
religion?/tableware and serving?,ZR_ZTS
stone and metal working,SM
stone and metaL working?,ZSM
tableware and serving,TS
tableware and serving?/toilet?,ZTS_T
tableware and serving?/toilet?- drinking?,ZTS_TD
toilet,T
toilet?,ZT
toilet?/writing?,ZT_W
weighing and measuring,WM
weighing and measuring?,ZWM
wood and leather working,WL
wood- and leather working?,ZWL
wood and leather working?/writing?,ZWL_W
writing,W
writing?,ZW
