Site,Building Phase,Building phase code
Ellingen,Period I,PI
Ellingen,Period 1a-b,PI
Ellingen,Period 1a,PIA
Ellingen,Probably Period Ia?,ZPIA
Ellingen,Period 1b,PIB
Ellingen,Probably Period 1b,ZPIB
Ellingen,Period 1b-2,P1B_2
Ellingen,Probably Period Ib-2,ZPIB_2
Ellingen,Period 1-2,PI_2
Ellingen,Period 2,P2
Ellingen,Probably Period 2?,ZP2
Ellingen,3rd century,3RD_CENT
Ellingen,Non-Roman,ZZ or NON_ROM
Hesselbach,Period 1,P1
Hesselbach,Period 1-2,P1_2
Hesselbach,Period 2,P2
Hesselbach,Period 2-2a,P2_2a
Hesselbach,Period 2-3,P2_3
Hesselbach,Period 3,P3
Oberstimm,Period 1,P1
Oberstimm,Period 1?,ZP1
Oberstimm,Period 1-2,P1_2
Oberstimm,Period 1-2?,ZP1_2
Oberstimm,Period 1a-b,P1A_B
Oberstimm,Period 1a-c,P1A_C
Oberstimm,Period 1a-d,P1A_D
Oberstimm,Period 1b,P1B
Oberstimm,Period 1b-c,P1B_C
Oberstimm,Period 1c,P1C
Oberstimm,Period 1c-2,P1C_2
Oberstimm,Period 1d,P1D
Oberstimm,Period 1d?,ZP1D
Oberstimm,Period 1d-2,P1D_2
Oberstimm,Period 2,P2
Oberstimm,Period 2 or later,P2_L
Rottweil,Period I,PI
Rottweil,Period I.2,PI_2
Rottweil,Period I.3 ,PI_3
Rottweil,Period II,PII
Rottweil,Roman,Rom
Rottweil,Unknown,U
