Site name,Cat_No,Provenance code,X coordinate,Y coordinate,No. of artefacts,Artefact category,act_cat,Material,Material detail,Type,Sub-Type,Description,Inscription,Find No./Inv. No. ,Find No. reduced,Date,Stratigraphical info,Period,Building phase,Building phase code,Building phase and find complex,Location,location_reduced,Gender ,Gender code,Width (cm),Rim diam. (cm),Base diam. (cm),Diam. (cm),Height (cm),Length (cm),Thickness (cm),Weight (g),Other dimensions,Fabric,Published illustration,Published parallels
Ellingen,J0015,71,21.30,70.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,Very fine-grained sandstone; rectangular; two long sides and four narrow sides sloping; all six sides convex with processing and grinding traces.,,1991-868,868,,,,Period 1-2,P1_2,,Area G,Area G,male?,ZMa,,,,,,,,1267,19.4 x 11.7 x 2.5 x 3.5 cm ,,Pl.  104,
Ellingen,J0016,71,21.30,70.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,"Very fine-grained sandstone; rectangular; all edges sloping; on all six sides processing traces; on upper, lower and one long side additional grinding traces.",,1991-868,868,,,,Period 1-2,P1_2,,Area G,Area G,male?,ZMa,,,,,,,,1181,19.1 x 12.4 x 2.7 cm,,Pl.  104,
Ellingen,J0017,71,21.30,70.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,Very fine-grained sandstone; long rectangular; on all six sides processing and grinding traces.,,1991-868,868,,,,Period 1-2,P1_2,,Area G,Area G,male?,ZMa,,,,,,,,1256,18.1 x 9.0 x 4.6 cm,,Pl.  104,
Ellingen,J0018,71,21.30,70.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,Very fine-grained sandstone; long rectangular; one narrow side largeflächig sloping; all sides convex with processing traces.,,1991-868,868,,,,Period 1-2,P1_2,,Area G,Area G,male?,ZMa,,,,,,,,1120,17.2 x 7.2 x 5.3 cm ,,Pl.  104,
Ellingen,C0099,76,22.00,73.00,1,stone and metal working,SM,Iron,,Anvils,,"Block anvil, slightly conical; in one corner of the face nail hole with side slit. ",,1991-2317,2317,,,,Period 1b-2?,ZP1B_2,,Area G,Area G,male,Ma,,,,,25.8,,,c. 38.5 kg,Long side: 15.2 x 15.4 cm; base: 12.4 x 11.6 cm,,Pl.  30,"For the function of the nail-hole: H. Ohlhaver, Der germanische Schmied und sein Werkzeug (1939) 75f.; Pietsch, Saalburg 56 und Manning, Iron 1; also similar P. Hugger, Die Nagel- und Kettenschmiede von Vallorbe. Schweiz. Ges. Volkskunde, Abt. Film, R. Altes Handwerk H. 33 (1973) 21ff. Mainly the large block anvil is represented figuratively, similar to G. Zimmer, Römische Berufsdarstellungen. Arch. Forsch. 12 (1982) 179ff. nos 112-115, 120, 122-124, 128, 130, 131. Only some 20 original Roman examples known, Pietsch, Saalburg 56 note 574 and Manning, Iron lff. supplement: Near this piece H. Ohlhaver a.a.O. 118 fig. 49 a further example from Eining with similar size and nail-hole (Museum Landshut inv. no. A2750 - reference R. Petrovszky); A. Mutz, Römisches Schmiedehandwerk. Augster Museumsh. l (1976) 25 fig. 20. Also similar J. Garbsch, Der Moosberg bei Murnau. Münchner Beitr. Vor- u. Frühgesch. 12 (1966) pl. 36.2, 3; J. Glodariu u. E. Jaroslavschi, Civilizatia Fierului la Daci (1979) figs 8, 9; N. Gudea, Porolissum. Res Publica Municipii Septimii Porolissensium (1986) 31 fig. 3 (= Mat. si Cerc. Arh. 8, 1962, 490 fig. 8.22); I H. Crisan, Ziridava (1978) pl. 104. 2; 118. 6, 7."
Ellingen,J0092s,76,22.00,73.00,1,stone and metal working,SM,Stone,Ironstone,Indeterminate fragments,,Small vererzten ironstone piece (Dogger Beta) could have been collected for iron smelting.,,1991-2316,2316,,Grube um Amboß ,,Period 1b-2?,ZP1B_2,,Area G,Area G,male,Ma,,,,,,c. 4-6 ,,,,,,"H. Schmidt-Kaler, Geologische Karte von Bayern l: 25 000. Illustration on sheet no. 6932 Nennslingen (1971) 18; 68."
Ellingen,K0015,76,22.00,73.00,20,stone and metal working,SM,Slag,,Indeterminate fragments,,"2 large, 6 medium, 12 small pieces.",,1991-2316,2316,,Grube um Amboß ,,Period 1b-2?,ZP1B_2,,Area G,Area G,male,Ma,,,,,,,,928,,,,
Ellingen,B0132,109,26.50,70.80,1,dress?/cloth working?/toilet?,ZD_C_T,Copper alloy,,Needles & pins,,"Plain pin, bent, point broken off.",,1991-743,743,,,,Period 1-2,P1_2,,Area G,Area G,male?/female?,ZMa_Fe,,,,,,6.8  (preserved),0.55,,,,Pl.  19,
Ellingen,B0008,437,72.00,88.00,1,dress,D,Copper alloy,,Brooches,Böhme Type 28f; Riha Type 6.4.2/3,"Hinged arm brooch (similar to B7). Two piece bronze brooch; upper surface tin-plated; trapezoidal sectioned bow broken in the centre, with still six small holes; at the transition to the foot small bow disc with attached moulding; closed tubular foot with vertical facets.",,13 08 44 / 1991-738,844,c. 200 - 1st 1/2 3rd cent. AD ,Planum 3 - above,,Period 1-2,3RD_CENT,,Area G,Area G,male?,ZMa,,,,,,3.8  (preserved),,,,,Pl.  14,
Ellingen,J0029,121,27.80,71.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained sandstone; two fragments, rectangular; upper and under side with processing traces (Hammer), long sides with grinding and processing traces, narrow sides with processing traces.",,1991-2334,2334,,,,Period 1b-2?,ZP1B_2,Find complex 12,"Area G, pit G14",Area G,male?,ZMa,,,,,,,,178 (preserved),9.4 x 6.6 x 1.4 - 2.3 cm  (preserved),,Pl.  104,
