Site name,Cat No,Provenance code,X coordinate,Y coordinate,No. of Artefacts,Activity category,act_cat,Material,Material detail,Type,Sub-type,Sub-type,Description,Inscription,Inventory number, Reduced,Date,Stratigraphical info,Period,Building phase,Building phase code,Building phase reduced,Building,Finds complex,Location,Gender ,Gender code,Width (cm),Diam. (cm),Height (cm),Length (cm),Thickness (cm),Weight (g),Other measurement (cm),Fabric,Published illustration (Schönberger 1978 unless otherwise stated),Published reference (by Witz or Ulbert) and parallels
Oberstimm,B0515,12.991010,146.16673,111.49173,1.00,agricultural,A,Iron,,Pitchforks,,,"Three-pronged pitchfork, forged in one piece. Meat pitchfork?  ",,"1975, 151",151,,beneath Planum 1,,Period 1?,ZP1,ZP1,7,,"Fläche 12, 12 m from west near north corner",male,Ma,10.5,,,8,,,,,Pl. 34,Jacobi in: Ausgr. in Manching 5 (1974) pl. 32. 571.
Oberstimm,B0527,1.071010,69.47056,85.85985,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Fragment of an iron knife with straight blade; only part of blade preserved, with point twisted underneath. Part of a jack-knife?  ",,"1975, 26 ",26,,,,Period 1-2,P1_2,P1_2,fortifications,Finds complex 2,"Fläche 1g, predominantly fill from defence trench",male?,ZMa,Blade: 2.1   ,,,8,,,,,Pl. 34,
Oberstimm,B0528,1.071010,69.47056,85.85985,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Iron knife with straight back and symmetrical blade point; blade with grooved decoration. Long offset, trapezoidal handle tang.  ",,"1975, 26 ",26,,,,Period 1-2,P1_2,P1_2,fortifications,Finds complex 2,"Fläche 1g, predominantly fill from defence trench",male?,ZMa,Blade: 2  ,,,20.5,,,,,Pl. 34,
Oberstimm,B0518,4.991020,105.42323,79.38580,1.00,cutting and sharpening,CS,Iron,,Knives,,,Blade from an iron knife with sickle-shaped arched back. Handle tang missing.,,"1975, 61 ",61,,above Planum 1,,Period 1-2,P1_2,P1_2,1,,"Fläche 4, above Planum 1",male?,ZMa,Blade: max. 2.6   ,,,15.6,,,,,Pl. 34,
Oberstimm,B0519,4.991040,90.15022,74.04700,1.00,cutting and sharpening,CS,Iron,,Knives,,,Iron knife with lunate-shaped bowed back. The fully preserved bone handle is almostened with three rivets. Handle end pierced with a round eye. ,,"1975, 66",66,,beneath Planum 1,,Period 1-2,P1_2,P1_2,1,,"Fläche 4, southwest corner",male?,ZMa,Blade: max. 2.8   ,,,18.5,,,,,Pl. 34,
Oberstimm,H0010,4.991080,99.88170,78.81137,1.00,cutting and sharpening,CS,Worked stone,sandstone,Whetstones,,,"Whetstone, fragment of fine grained, grey-white sandstone. ",,"1975, 62",62,,beneath Planum 1,,Period 1-2,P1_2,P1_2,1,,Fläche 4,male?,ZMa,,,,7.1,,,,,Pl. 115,
Oberstimm,H0007,8.991160,141.15299,88.96737,1.00,cutting and sharpening,CS,Worked stone,sandstone,Whetstones,,,"Whetstone from fine grained, reddish sandstone.",,"1975, 116",116,,beneath Planum 1,,Period 1-2,P1_2,P1_2,6,,Fläche 8,male?,ZMa,,,,11.1,,,,,Pl. 115,
Oberstimm,F0007 ,18.991010,114.57577,79.82775,1.00,cutting and sharpening,CS,Worked Bone and Antler,,Knives,,,"Bone handle with scratched decoration, for an iron knife.",,"1975, 177",177,,"upper levels, up to 0.3 m beneath modern surface",,Period 1-2,P1_2,P1_2,F_street,,Fläche 18,male?,ZMa,2.5,,,8.4,,,,,Pl. 112,
Oberstimm,B0517,19.991110,89.59601,140.77270,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Iron knife with arched back, badly corroded. In the handle tang are two iron rods, to almost the handle. ",,"1975, 188 ",188,,beneath Planum l,,Period 1-2,P1_2,P1_2,Unknown,,"Fläche 19, 7 m from north and l m from west",male?,ZMa,max. 2.7   ,,,17.7,,,,,Pl. 34,"Aislingen pl. 28.3. - Burghöfe pl. 53.18. - Rheingönheim pl. 49.9, 11, 16-17. - Rißtissen I pl. 31.503."
Oberstimm,B0522,19.991110,89.59601,140.77270,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Iron knife  with arched back and distinctly offset handle tang; small knife, badly corroded. On the handle tang still large partl of both bone plates preserved, decorated with geometric stratched lines and fastened with two iron rivets. ",,"1975, 188",188,,beneath Planum l,,Period 1-2,P1_2,P1_2,Unknown,,"Fläche 19, 7 m from north and l m from west",male?,ZMa,Blade: max. 2.1 ,,,16,,,,,Pl. 34,Rheingönheim pl. 49.2. - Rißtissen I pl. 31.502.
