Feature no,Box no,Layer no,Description,Feature files
1,83,8,"Feature sheet missing","B2.1"
2,"83/84","9/13","Feature sheet missing","B2.1"
3,85,1,"Feature sheet missing","B2.1"
4,85,2,"Feature sheet missing","B2.1"
5,85,3,"Feature sheet missing","B2.1"
6,85,4,"Feature sheet missing","B2.1"
7,85,5,"Feature sheet missing","B2.1"
8,83,10,"Feature sheet missing","B2.1"
9,49,152,"Feature sheet missing","B2.1"
10,49,156,"Feature sheet missing","B2.1"
11,49,"157-9","Feature sheet missing","B2.1"
12,80,44,"Feature sheet missing","B2.1"
13,86,2,"Feature sheet missing","B2.1"
14,87,0,"Feature sheet missing","B2.1"
15,87,0,"Feature sheet missing","B2.1"
16,87,0,"Feature sheet missing","B2.1"
17,87,0,"Feature sheet missing","B2.1"
18,87,0,"Feature sheet missing","B2.1"
19,86,3,"Feature sheet missing","B2.1"
20,85,0,"Wall","B2.1"
21,85,0,"Feature sheet missing","B2.1"
22,85,0,"Wall","B2.1"
23,"85I",0,"Feature sheet missing","B2.1"
24,"85III",0,"W Wall","B2.1"
25,"85III",0,"W Wall","B2.1"
26,86,1,"Feature sheet missing","B2.1"
27,86,6,"N Wall","B2.1"
28,86,83,"E Wall","B2.1"
29,86,7,"Wall","B2.1"
30,87,5,"Feature sheet missing","B2.1"
31,87,5,"Feature sheet missing","B2.1"
32,87,0,"Feature sheet missing","B2.1"
33,85,"108?","Posthole","B2.1"
34,85,"109?","Posthole","B2.1"
35,84,23,"Feature sheet missing","B2.1"
36,84,22,"Feature sheet missing","B2.1"
37,87,0,"Feature sheet missing","B2.1"
38,84,15,"Feature sheet missing","B2.1"
39,84,24,"Feature sheet missing","B2.1"
40,84,16,"Feature sheet missing","B2.1"
41,84,25,"Feature sheet missing","B2.1"
42,84,17,"Feature sheet missing","B2.1"
43,84,20,"Feature sheet missing","B2.1"
44,84,21,"Feature sheet missing","B2.1"
45,84,18,"Feature sheet missing","B2.1"
46,84,19,"Feature sheet missing","B2.1"
47,84,14,"Feature sheet missing","B2.1"
48,80,53,"Feature sheet missing","B2.1"
49,84,34,"Feature sheet missing","B2.1"
50,84,0,"Feature sheet missing","B2.1"
51,84,35,"Feature sheet missing","B2.1"
52,91,0,"Feature sheet missing","B2.1"
53,"85i",0,"Feature sheet missing; feature abandoned","B2.1"
54,91,1,"Feature sheet missing","B2.1"
55,91,2,"Feature sheet missing","B2.1"
56,84,0,"Levelling / trench","B2.1"
57,84,0,"Feature sheet missing","B2.1"
58,87,17,"Feature sheet missing","B2.1"
59,"85i",0,"Feature sheet missing","B2.1"
60,"85ii",0,"Feature sheet missing","B2.1"
61,83,0,"Feature sheet missing","B2.1"
62,83,0,"Feature sheet missing","B2.1"
63,83,21,"Feature sheet missing","B2.1"
64,83,22,"Feature sheet missing","B2.1"
65,87,0,"Feature sheet missing","B2.1"
66,"85iii",0,"Construction trench","B2.1"
67,86,"21, 25","Robber trench","B2.1"
68,"85i",0,"East Wall","B2.1"
69,"85i",0,"South Wall","B2.1"
70,"85i",0,"West wall","B2.1"
71,"85i",0,"North wall","B2.1"
72,85,"111?","Stakehole","B2.1"
73,85,110,"Posthole","B2.1"
74,85,107,"Posthole","B2.1"
75,"85iii",49,"Posthole","B2.1"
76,"85iii",0,"pit","B2.1"
77,84,38,"Floor","B2.1"
78,84,39,"Floor","B2.1"
79,84,40,"Floor","B2.1"
80,"85iii",0,"? Drainage trench","B2.1"
81,86,"8&9","Herring bone tile floor","B2.1"
82,85,0,"Posthole ?","B2.1"
83,84,14,"Feature sheet missing","B2.1"
84,84,41,"Floor","B2.1"
85,84,64,"Pit?","B2.1"
86,87,0,"Pit small","B2.1"
87,91,11,,"B2.1"
88,"87i",20,"Pit","B2.1"
89,97,0,"C19 trench","B2.1"
90,90,0,"Feature abandoned","B2.1"
91,90,0,"Robber Trench","B2.1"
92,"97i",0,"Stakehole","B2.1"
93,"87i",0,,"B2.1"
94,"87i",0,"Construction trench","B2.1"
95,"87i","49-51","Clay wall","B2.1"
96,91,"19, 20","Floor?","B2.1"
97,"85iii","44,45,54",,"B2.1"
98,92,10,"Construction trench","B2.1"
99,92,0,"Construction trench","B2.1"
100,92,0,"Post pit","B2.1"
101,91,8,,"B2.1"
102,91,0,"Stakehole (3)","B2.1"
103,86,33,"Posthole","B2.1"
104,"85i",0,"Trench","B2.1"
105,92,0,"Posthole","B2.1"
106,90,0,"Posthole","B2.1"
107,90,0,"Posthole","B2.1"
108,90,0,"Posthole","B2.1"
109,90,0,"Posthole","B2.1"
110,90,0,"Posthole","B2.1"
111,90,0,"Abandoned as worm action","B2.1"
112,90,0,"See F133","B2.1"
113,90,0,"Posthole","B2.1"
114,90,0,"Posthole","B2.1"
115,97,0,"Stakehole(s)","B2.1"
116,97,0,"Abandoned as worm action","B2.1"
117,90,0,"Postholes (2)","B2.1"
118,"85i",0,,"B2.1"
119,87,0,,"B2.1"
120,86,36,"Construction trench for E-W drain","B2.1"
121,85,65,"Feature sheet missing","B2.1"
122,85,65,"Feature sheet missing","B2.1"
123,"85iii",0,,"B2.1"
124,91,0,,"B2.1"
125,"85ii",0,"Construction trench","B2.1"
126,92,0,"Posthole","B2.1"
127,87,0,"Trench","B2.1"
128,87,0,"Construction trench","B2.1"
129,87,0,"Posthole","B2.1"
130,92,0,"modern signpost hole","B2.1"
131,"92?",0,,"B2.1"
132,86,0,"Mortar bedding for N-S drain","B2.1"
133,92,0,"C19th excavation trench","B2.1"
134,86,41,"? Part of construction trench for drain","B2.1"
135,"85ii",0,"Stakehole","B2.1"
136,"85ii",0,"Stakehole","B2.1"
137,"85ii",0,"Stakehole","B2.1"
138,"85ii",0,"Stakehole","B2.1"
139,"85ii",0,"Stakehole","B2.1"
140,"85ii",0,"Stakehole","B2.1"
141,"85ii",0,"Stakehole","B2.1"
142,"85ii",0,"Stakehole","B2.1"
143,"85ii",0,"Slot","B2.1"
144,87,0,"Beam slot (rampart)","B2.1"
145,87,0,"Beam slot (rampart)","B2.1"
146,"85ii",0,"Stakehole","B2.1"
147,"85ii",0,"Stakehole","B2.1"
148,"85ii",0,"Stakehole","B2.1"
149,92,0,"Posthole","B2.1"
150,92,0,"Posthole","B2.1"
151,92,0,"Posthole","B2.1"
152,92,0,"Posthole","B2.1"
153,92,21,"Pebble surface","B2.1"
154,92,0,"Pit","B2.1"
155,92,0,"Pit","B2.1"
156,92,0,"Posthole","B2.1"
157,91,0,"Posthole","B2.1"
158,"85iii",0,"Posthole","B2.1"
159,91,0,"Posthole","B2.1"
160,91,0,"Posthole","B2.1"
161,92,0,"Posthole","B2.1"
162,92,0,"Slot","B2.1"
163,92,0,"Slot","B2.1"
164,92,0,"Slot","B2.1"
165,92,0,"Post pit","B2.1"
166,86,0,"same as F120","B2.1"
167,92,36,"Feature sheet missing","B2.1"
168,86,46,"Construction trench for F29 well","B2.1"
169,"88ii",7,"? Ministry trench","B2.1"
170,"85i",0,"Pit","B2.1"
171,"88iii",7,"Not a feature","B2.1"
172,"88iii","9,16,17","Bedding trench","B2.1"
173,"85i",0,"Rampart","B2.1"
174,92,0,"Slot","B2.1"
175,"88iii",10,"Bedding trench","B2.1"
176,"85i",0,"Timbers for Rampart","B2.1"
177,93,0,"Pit","B2.1"
178,87,0,"Rampart","B2.1"
179,87,0,"Construction trench / Rampart timbers","B2.1"
180,87,0,"Construction trench / Rampart timbers","B2.1"
181,87,0,"Construction trench / Rampart timbers","B2.1"
182,86,"47-48","Posthole","B2.1"
183,95,"21, 38, 39",,"B2.1"
184,95,"22-25","Slot? + 2 postholes","B2.1"
185,95,26,,"B2.1"
186,95,"27-9","Slot? + 2 square postholes","B2.1"
187,95,30,"not a feature","B2.1"
188,95,"31,36",,"B2.1"
189,95,32,"Wall","B2.1"
190,95,33,"Posthole","B2.1"
191,95,35,"pit?","B2.1"
192,95,"37, 41-2","pit","B2.1"
193,"88iii",11,"sub-square pit","B2.1"
194,"88iii","12,15","sub-square pit","B2.1"
195,"85ii","?233","slot and postholes F135-F142","B2.1"
196,"88i",10,"Number defunct","B2.1"
197,"88i",11,"Depression / Post hole","B2.1"
198,"88i","13,18","Irregular pit","B2.1"
199,"88i",14,"Ovoid pit / post hole","B2.1"
200,"88i",15,"Sub rectangular pit","B2.1"
201,"88i",16,"Depression","B2.1"
202,"88i",17,"Lump of clay","B2.1"
203,84,64,"Pit","B2.1"
204,86,51,"Pit","B2.1"
205,86,"60-63","Pit","B2.1"
206,92,"55,56","Pit","B2.1"
207,86,50,"? Post hole pit","B2.1"
208,"88iii",13,"Posthole","B2.1"
209,86,"52-5, 64","Construction trench from N-S drain","B2.1"
210,"88ii","10,14,16","Trench/Slot","B2.1"
211,"88iii",14,"Foundation Trench","B2.1"
