Photo ID,WR plate no,Negative no,AML no,Attribution
310,687,,7312128,"Baths Basilica"
311,687,,7312135,"Baths Basilica"
312,688,,7312367,"Baths Basilica"
313,688,,7312155,"Baths Basilica"
314,688,,7312317,"Baths Basilica"
315,688,,7312184,"Baths Basilica"
316,688,,743274,"Baths Basilica"
317,688,,743370,"Baths Basilica"
318,689,,743423,"Baths Basilica"
319,689,,737032,"Baths Basilica"
320,689,,743369,"Baths Basilica"
321,690,,743315,"Baths Basilica"
322,690,,743371,"Baths Basilica"
323,690,,743317,"Baths Basilica"
324,690,,743308,"Baths Basilica"
325,690,,743302,"Baths Basilica"
326,690,,743424,"Baths Basilica"
327,690,,7410166,"Baths Basilica"
328,690,,7410166,"Baths Basilica"
329,690,,7410167,"Baths Basilica"
330,690,,7410162,"Baths Basilica"
331,690,,7410160,"Baths Basilica"
332,690,,7410181,"Baths Basilica"
333,690,,7410163,"Baths Basilica"
334,691,,7312358,"Baths Basilica"
335,691,,7312366,"Baths Basilica"
336,691,,7312371,"Baths Basilica"
337,691,,7312308,"Baths Basilica"
338,691,,7312401,"Baths Basilica"
339,691,,7312471,"Baths Basilica"
340,691,,743273,"Baths Basilica"
341,691,,743282,"Baths Basilica"
342,691,,743295,"Baths Basilica"
343,691,,743214,"Baths Basilica"
344,691,,7312363,"Baths Basilica"
345,692,,7313209,"Baths Basilica"
346,692,,7313492,"Baths Basilica"
347,692,,7313360,"Baths Basilica"
348,692,,7313465,"Baths Basilica"
349,692,,743414,"Baths Basilica"
350,692,,7410180,"Baths Basilica"
351,693,,7312287,"Baths Basilica"
352,693,,7312269,"Baths Basilica"
353,693,,7312294,"Baths Basilica"
354,693,,7312244,"Baths Basilica"
355,693,,7312232,"Baths Basilica"
356,694,,7312200,"Baths Basilica"
357,694,,7312202,"Baths Basilica"
358,694,,7312204,"Baths Basilica"
359,694,,7312213,"Baths Basilica"
360,694,,7312215,"Baths Basilica"
361,694,,7312222,"Baths Basilica"
362,694,,7312220,"Baths Basilica"
363,694,,7312217,"Baths Basilica"
364,694,,7312223,"Baths Basilica"
365,694,,7312254,"Baths Basilica"
366,694,,7312266,"Baths Basilica"
367,694,,7312299,"Baths Basilica"
368,696,,785839,"Webster"
369,696,,792173,"Webster"
370,696,,787168,"Webster"
371,697,,785823,"Webster"
372,697,,785833,"Webster"
373,697,,785834,"Webster"
374,697,,787018,"Webster"
375,697,,785867,"Webster"
376,698,,785813,"Webster"
377,698,,785815,"Webster"
378,698,,785794,"Webster"
379,698,,785819,"Webster"
380,698,,785882,"Webster"
381,698,,785821,"Webster"
382,695,,7312190,"Baths Basilica"
383,695,,7312192,"Baths Basilica"
384,695,,7312194,"Baths Basilica"
385,695,,7312199,"Baths Basilica"
386,695,,7312161,"Baths Basilica"
387,700,,725730,"Webster"
388,700,,725738,"Webster"
389,700,,7257343,"Webster"
390,700,,725744,"Webster"
391,700,,725764,"Webster"
392,701,,777286,"Webster"
393,701,,777290,"Webster"
394,701,,777288,"Webster"
395,701,,777285,"Webster"
396,701,,777289,"Webster"
397,701,,777291,"Webster"
398,702,,7716470,"Brown"
399,703,,7716470,"Brown - coin"
400,704,,786393,"Webster"
401,704,,788077,"Webster"
402,704,,788075,"Webster"
403,705,,786387,"Webster"
404,705,,786388,"Webster"
405,705,,786389,"Webster"
406,705,,786390,"Webster"
407,705,,786391,"Webster"
408,705,,786392,"Webster"
409,705,,786394,"Webster"
410,705,,786395,"Webster"
411,705,,786396,"Webster"
412,705,,786397,"Webster"
413,705,,786398,"Webster"
414,705,,786399,"Webster"
415,706,,788071,"Webster"
416,706,,788072,"Webster"
417,706,,788073,"Webster"
418,706,,788074,"Webster"
419,706,,788076,"Webster"
420,706,,788078,"Webster"
1,11,,681658,"Webster"
2,11,,681678,"Webster"
3,11,,722020,
4,11,,722019,
5,17,,681671,"Webster"
6,20,,681659,"Webster"
7,21,,681657,"Webster"
8,22,,681660,"Webster"
9,23,,681663,"Webster"
10,24,,681677,"Webster"
11,26,,681675,"Webster"
12,27,,681670,"Webster"
13,28,,681674,"Webster"
14,29,,681679,"Webster"
15,30,,681673,"Webster"
16,32,,681672,"Webster"
17,36,,681655,"Webster"
18,37,,681656,"Webster"
19,38,,681666,"Webster"
20,40,,681654,"Webster"
21,41,,681650,"Webster"
22,42,,681651,"Webster"
23,43,,681665,"Webster"
24,44,,681664,"Webster"
25,45,,681652,"Webster"
26,66,,725727,"Webster"
27,67,,725728,"Webster"
28,68,,725730,"Webster"
29,69,,725729,"Webster"
30,70,,725731,"Webster"
31,71,,725725,"Webster"
32,72,,725726,"Webster"
33,73,,725723,"Webster"
34,74,,725724,"Webster"
35,75,,725722,"Webster"
36,76,,725685,"Museum"
37,77,,725688,"Museum"
38,78,,725689,"Museum"
39,79,,725686,"Museum"
40,80,,725692,"Museum"
41,81,,725690,"Museum"
42,82,,725687,"Museum"
43,83,,725691,"Museum"
44,84,,725703,"Museum"
45,85,,725704,"Museum"
46,86,,725701,"Museum"
47,87,,725702,"Museum"
48,88,,725699,"Museum"
49,89,,760703,"Museum"
50,90,,725695,"Museum"
51,91,,725698,"Museum"
52,92,,725697,"Museum"
53,93,,725696,"Museum"
54,94,,725694,"Museum"
55,95,,725693,"Museum"
56,96,,725721,"Museum"
57,97,,725720,"Museum"
58,98,,725719,"Museum"
59,99,,725717,"Museum"
60,31,,5350,"Labelled as Webster but number is possibly Kenyon"
61,100,,725718,"Museum"
62,101,,725715,"Museum"
63,102,,725716,"Museum"
64,103,,725713,"Museum"
65,104,,725714,"Museum"
66,105,,725711,"Museum"
67,106,,725712,"Museum"
68,107,,725709,"Museum"
69,108,,725710,"Museum"
70,109,,725705,"Museum"
71,110,,725706,"Museum"
72,111,,725708,"Museum"
73,112,,725707,"Museum"
74,113,,725672,"Museum"
75,114,,725673,"Museum"
76,115,,725676,"Museum"
77,116,,725675,"Museum"
78,117,,725678,"Museum"
79,118,,725677,"Museum"
80,118,,890414,"Museum"
81,119,,725680,"Museum"
82,120,,725679,"Museum"
83,121,,725682,"Museum"
84,122,,725681,"Museum"
85,123,,725684,"Museum"
86,124,,725683,"Museum"
87,125,,725664,"Museum"
88,126,,725662,"Museum"
89,127,,725663,"Museum"
90,128,,725659,"Museum"
91,129,,725661,"Museum"
92,130,,725660,"Museum"
93,131,,725674,"Museum"
94,132,,725671,"Museum"
95,133,,725670,"Museum"
96,134,,725669,"Museum"
97,135,,725668,"Museum"
98,136,,725667,"Museum"
99,137,,725666,"Museum"
100,138,,725665,"Museum"
101,139,,725657,"Museum"
102,140,,725656,"Museum"
103,141,,725645,"Museum"
104,142,,725647,"Museum"
105,143,,725646,"Museum"
106,144,,725649,"Museum"
107,145,,725648,"Museum"
108,146,,725651,"Museum"
109,147,,725652,"Museum"
110,148,,725653,"Museum"
111,149,,725650,"Museum"
112,150,,725655,"Museum"
113,151,,725654,"Museum"
114,152,,725638,"Museum"
115,153,,725639,"Museum"
116,154,,725640,"Museum"
117,155,,725637,"Museum"
118,156,,725641,"Museum"
119,157,,725658,"Museum"
120,158,,725642,"Museum"
121,159,,725643,"Museum"
122,160,,725635,"Museum"
123,161,,725644,"Museum"
124,162,,725636,"Museum"
125,163,,725634,"Museum"
126,164,,725633,"Museum"
127,165,,725769,"Webster"
128,166,,725772,"Webster"
129,167,,725774,"Webster"
130,168,,725777,"Webster"
131,169,,725775,"Webster"
132,170,,725776,"Webster"
133,171,,725773,"Webster"
134,172,,725765,"Webster"
135,173,,725770,"Webster"
136,174,,725768,"Webster"
137,175,,725766,"Webster"
138,176,,725771,"Webster"
139,177,,725767,"Webster"
140,178,,725614,"Webster"
141,179,,725612,"Webster"
142,180,,725620,"Webster"
143,181,,725621,"Webster"
144,183,,725619,"Webster"
145,184,,725618,"Webster"
146,185,,725617,"Webster"
147,187,,725613,"Webster"
148,191,,725605,"Webster"
149,192,,725604,"Webster"
150,194,,725606,"Webster"
151,196,,725600,"Webster"
152,199,,725623,"Webster"
153,200,,725622,"Webster"
154,201,,725625,"Webster"
155,202,,725624,"Webster"
156,203,,725627,"Webster"
157,204,,725626,"Webster"
158,205,,725629,"Webster"
159,206,,725628,"Webster"
160,207,,725631,"Webster"
161,208,,725630,"Webster"
162,209,,725632,"Webster"
163,210,,725751,"Webster"
164,211,,725743,"Webster"
