ID Glass,Archive no,Manufacture method,Colour,Area,Context,Context code,Context ID,Military catalogue number,Military page number,Military figure,Baths&M catalogue number,Baths&M page number,Baths&M figure
165,"88b","Blown","Emerald green",75,2,75.002,2294,110,246,,890,,
166,"88c","Blown","Emerald green",58,4,58.004,1981,110,246,,999,,
167,88d,"Blown","Emerald green",80,179,80.179,2522,110,246,,133,,
168,89,"Blown","Yellow/green",30,34,30.034,6576,111,247,6.5,,,
169,90,"Blown","Yellow/green",90,184,90.184,3499,112,247,,13,,
170,91,"Blown","Yellow/green",86,71,86.071,3168,0,0,,14,171,4.38
171,92,"Blown","Yellow/green",47,17,47.017,1430,0,0,,891,179,4.38
172,93,"Blown","Yellow/green",22,2,22.002,862,113,247,,1000,182,
173,94,"Blown","Yellow/green",86,40,86.04,3151,0,0,,678,177,
174,94,"Blown","Yellow/green",92,18,92.018,3813,0,0,,892,179,
175,95,"Blown","Yellow/green",91,72,91.072,3678,114,247,6.5,679,177,
176,"95b","Blown","Yellow/green",90,216,90.216,3529,115,247,,134,,
177,96,"Blown","Yellow/green",90,207,90.207,3520,116,247,6.5,135,,
178,"96b","Blown","Yellow/green",90,177,90.177,3492,117,247,,136,,
179,97,"Blown","Yellow/green",91,58,91.058,3675,118,247,6.5,15,,
180,98,"Blown","Yellow/green",9,30,9.03,6565,119,247,,,,
181,99,"Blown","Yellow/green",0,0,0.0,7001,0,0,,,,
182,100,"Blown","Yellow/green",90,204,90.204,3517,0,0,,137,,
183,101,"Blown","Yellow/green",92,61,92.061,6436,120,247,,,,
184,102,"Blown","Yellow/green",38,35,38.035,1274,0,0,,988,181,
185,"102b","Blown","Yellow/green",75,2,75.002,2294,0,0,,893,,
186,"102c","Blown","Yellow/green",81,15,81.015,6628,0,0,,,,
187,102d,"Blown","Yellow/green",72,67,72.067,5828,0,0,,,,
188,"102e","Blown","Yellow/green",98,190,98.19,4478,0,0,,16,,
189,102f,"Blown","Yellow/green",86,42,86.042,3153,0,0,,680,,
